system:index,Date_str,WaterPlane,bmaxGeeGrd,bmaxSnapRtc,edgeGeeGrd,edgeSnapRtc,latitude_209564535,lc,longitude_209564535,.geo
2_0000000000000000009a_0,2019-09-09,0,1,1,0,1,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.06879717695168,11.882689999512]}"
2_0000000000000000009b_0,2019-09-09,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.79723646656235,11.503780612670386]}"
2_0000000000000000009c_0,2019-09-09,0,0,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.95713658713562,11.187932958773962]}"
2_0000000000000000009d_0,2019-09-09,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.81223833180714,11.279740780810977]}"
2_000000000000000000a1_0,2019-09-09,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.78304308507326,11.325554860301073]}"
2_000000000000000000a5_0,2019-09-09,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.91698189393549,11.885025619250712]}"
2_000000000000000000a7_0,2019-09-09,0,0,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.9900149265344,11.4933601553746]}"
2_000000000000000000a8_0,2019-09-09,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.79822461337488,11.265457567793478]}"
2_000000000000000000ad_0,2019-09-09,0,0,0,0,0,,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.17309158143796,12.087056726649191]}"
2_000000000000000000b0_0,2019-09-09,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.00843038985884,11.993272610987113]}"
2_000000000000000000b1_0,2019-09-09,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.87943231505928,11.938565210184235]}"
2_000000000000000000b4_0,2019-09-09,0,0,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.00852022138726,11.87622212946634]}"
2_000000000000000000b7_0,2019-09-09,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.79283472167016,11.294383319942126]}"
2_000000000000000000b8_0,2019-09-09,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.9795944692386,12.105741684558877]}"
2_000000000000000000b9_0,2019-09-09,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.92731251970285,11.877928928506167]}"
2_00000000000000000099_0,2019-09-09,1,1,1,0,1,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.916442904765,11.470902273271612]}"
2_0000000000000000009e_0,2019-09-09,1,1,1,0,1,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.09844158132762,12.028756064709835]}"
2_0000000000000000009f_0,2019-09-09,1,1,1,0,1,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.05819705659907,11.994081094742821]}"
2_000000000000000000a2_0,2019-09-09,1,1,1,0,1,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.18854260432481,11.997494692822475]}"
2_000000000000000000a9_0,2019-09-09,1,1,1,0,1,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.94896191805013,11.95491454835521]}"
2_000000000000000000ab_0,2019-09-09,1,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.96881468582917,11.891044331654312]}"
2_000000000000000000b3_0,2019-09-09,1,1,1,0,1,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.91275981210012,11.466500528379425]}"
2_000000000000000000b5_0,2019-09-09,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.04005108785985,11.229974114070757]}"
