system:index,Date_str,WaterPlane,bmaxGeeGrd,bmaxSnapRtc,edgeGeeGrd,edgeSnapRtc,latitude_209564535,lc,longitude_209564535,.geo
0_1_1_0000000000000000003e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95065956852626,12.465067798206686]}"
0_1_1_0000000000000000003f_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.72805704112145,12.0878652104049]}"
0_1_1_00000000000000000040_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.80522232402731,11.969377424429535]}"
0_1_1_00000000000000000041_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79219675240758,12.225846438045657]}"
0_1_1_00000000000000000042_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8480719630798,12.321876341918035]}"
0_1_1_00000000000000000043_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.02486041099453,12.405689157926385]}"
0_1_1_00000000000000000044_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.7901306272541,12.20482586039726]}"
0_1_1_00000000000000000045_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9795853206749,12.33175781004335]}"
0_1_1_00000000000000000046_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91203201130912,12.219288736471585]}"
0_1_1_00000000000000000047_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95308501979338,12.587777666017413]}"
0_1_1_00000000000000000048_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.96862587420866,12.30471851999135]}"
0_1_1_00000000000000000049_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79722731799865,12.065946317472383]}"
0_1_1_0000000000000000004a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92344061541743,12.206083501795028]}"
0_1_1_0000000000000000004b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88660968876853,12.060376762710842]}"
0_1_1_0000000000000000004c_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.77503893048089,12.331578146986525]}"
0_1_1_0000000000000000004d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9524561990945,12.18317646204998]}"
0_1_1_0000000000000000004e_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.917242239957,12.585262383221878]}"
0_1_1_0000000000000000004f_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83899897871021,12.256209494648898]}"
0_1_1_00000000000000000050_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78806450210062,12.32349330942945]}"
0_1_1_00000000000000000051_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84384988124445,12.33642904952077]}"
0_1_1_00000000000000000052_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84708381626727,12.405778989454797]}"
0_1_1_00000000000000000053_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9600020474811,12.371014187959371]}"
0_1_1_00000000000000000054_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9457188344636,12.440184464836575]}"
0_1_1_00000000000000000055_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88993345531978,12.56648759378378]}"
0_1_1_00000000000000000056_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84456853347174,12.30965925405401]}"
0_1_1_00000000000000000057_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79444254061788,12.10951460875218]}"
0_1_1_00000000000000000058_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94598832904883,12.293848905053505]}"
0_1_1_00000000000000000059_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93583736633829,12.304269362349292]}"
0_1_1_0000000000000000005a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93673568162241,12.066215812057619]}"
0_1_1_0000000000000000005b_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8930775588142,12.419523213301826]}"
0_1_1_0000000000000000005c_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.98650234836262,12.613110157029583]}"
0_1_1_0000000000000000005d_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82714121695983,12.358976763152171]}"
0_1_1_0000000000000000005e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9344898934121,12.129816534173282]}"
0_1_1_0000000000000000005f_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84061594622162,11.924281997166734]}"
0_1_1_00000000000000000060_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.00824157823831,12.383770264993869]}"
0_1_1_00000000000000000061_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84097527233527,12.437938676626276]}"
0_1_1_00000000000000000062_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.86864338308615,12.068641263324741]}"
0_1_1_00000000000000000063_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.85903140954606,12.157215150338926]}"
0_1_1_00000000000000000064_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9510188946399,12.10080095049622]}"
0_1_1_00000000000000000065_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.90816925558741,12.027857749425715]}"
0_1_1_00000000000000000066_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95577996564575,12.4012874130342]}"
0_1_1_00000000000000000067_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9930600499367,12.295286209508097]}"
0_1_1_00000000000000000068_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94356287778172,12.554540000504991]}"
0_1_1_00000000000000000069_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.98758032670356,12.593706546892601]}"
0_1_1_0000000000000000006a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92550674057091,12.309928748639244]}"
0_1_1_0000000000000000006b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91059470685452,12.163683020384587]}"
0_1_1_0000000000000000006c_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.76318116873051,12.046363044278577]}"
0_1_1_0000000000000000006d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8961318307802,12.35026310489621]}"
0_1_1_0000000000000000006e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84384988124445,11.96776045691812]}"
0_1_1_0000000000000000006f_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.89056227601866,12.497227485378165]}"
0_1_1_00000000000000000070_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9945871859197,12.48878332170744]}"
0_1_1_00000000000000000071_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83172262490883,12.453928688683604]}"
0_1_1_00000000000000000072_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83037515198265,12.520314188180036]}"
0_1_1_00000000000000000073_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91778122912748,11.978989397969613]}"
0_1_1_00000000000000000074_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8480719630798,12.097926341587037]}"
0_1_1_00000000000000000075_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8345074022896,12.52642273211205]}"
0_1_1_00000000000000000076_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95200704145243,12.385836390147345]}"
0_1_1_00000000000000000077_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.04902509213734,12.569901191863433]}"
0_1_1_00000000000000000078_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83432773923278,12.297981155360455]}"
0_1_1_00000000000000000079_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93547804022464,12.187937533055814]}"
0_1_1_0000000000000000007a_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94859344337279,12.58355558418205]}"
0_1_1_0000000000000000007b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84843128919346,12.17536111907814]}"
0_1_1_0000000000000000007c_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78995096419727,12.169432238202951]}"
0_1_1_0000000000000000007d_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93098646380405,12.287291203479432]}"
0_1_1_0000000000000000007e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.97913616303285,12.466325439604454]}"
0_1_1_0000000000000000007f_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8028867042886,12.483034103889077]}"
0_1_1_00000000000000000080_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79489169825993,11.96551466870782]}"
0_1_1_00000000000000000081_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9156252724456,12.262407870109323]}"
0_1_1_00000000000000000082_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92433893070155,12.066125980529206]}"
0_1_1_00000000000000000083_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93323225201434,12.485459555156199]}"
0_1_1_00000000000000000084_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91230150589435,12.064149686904143]}"
0_1_1_00000000000000000085_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.76120487510545,12.135026762821173]}"
0_1_1_00000000000000000086_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9570376070435,12.533070265214533]}"
0_1_1_00000000000000000087_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78689669223127,12.148142165969318]}"
0_1_1_00000000000000000088_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.85040758281852,12.149848965009147]}"
0_1_1_00000000000000000089_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.81699025424928,12.219737894113646]}"
0_1_1_0000000000000000008b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93278309437228,12.205903838738204]}"
0_1_1_0000000000000000008d_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82588357556206,12.10448404316111]}"
0_1_1_0000000000000000008e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.89190974894484,12.105651853030466]}"
0_1_1_00000000000000000091_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92838134948009,11.958238314906453]}"
0_1_1_00000000000000000092_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.02521973710817,12.484920565985728]}"
0_1_1_00000000000000000093_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93125595838927,12.433177605620443]}"
