system:index,CID,Date,HYDRA,H_S_RLCMST,RLCMS,Slope,WaterPlane,first,system:time_start,.geo
1_1_1_1_1_1_1_1_2_000000000000000000a8,0,1568185200000,0,114.0,14.0,1,0,0.177652969956398,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.20791662411214,11.263354505936194]}"
1_1_1_1_1_1_1_1_2_0000000000000000000e,0,1568185200000,0,111.0,11.0,1,0,0.12509766221046448,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.8580317650447,11.35796286050772]}"
1_1_1_1_1_1_1_1_2_00000000000000000015,0,1568185200000,0,111.0,11.0,1,0,0.10560242831707001,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.0890890346462,11.292225698242394]}"
1_1_1_1_1_1_1_1_2_0000000000000000001a,0,1568185200000,0,111.0,11.0,1,0,0.12958860397338867,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.95717917475226,11.187969018056807]}"
1_1_1_1_1_1_1_1_2_00000000000000000020,0,1568185200000,0,111.0,11.0,1,0,0.11191671341657639,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.83471796174614,11.147451419698752]}"
1_1_1_1_1_1_1_1_2_000000000000000000ac,0,1568185200000,0,111.0,11.0,1,0,0.1063108891248703,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.88043292883332,11.455944586316402]}"
1_1_1_1_1_1_1_1_2_0000000000000000000b,0,1568185200000,1,1101.0,1.0,1,1,0.87702476978302,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.29557958148385,11.565057382109897]}"
1_1_1_1_1_1_1_1_2_0000000000000000001c,0,1568185200000,1,1101.0,1.0,1,1,0.846270740032196,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.04008093290021,11.230006683987309]}"
1_1_1_1_1_1_1_1_2_000000000000000000bd,0,1568185200000,1,1110.0,10.0,1,1,0.861680269241333,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.34744304663593,11.718875058964494]}"
1_1_1_1_1_1_1_1_2_00000000000000000014,0,1568185200000,1,1111.0,11.0,1,1,0.6181851625442505,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.00876955856356,11.293626123689716]}"
1_1_1_1_1_1_1_1_2_000000000000000000a3,0,1568185200000,1,1114.0,14.0,1,1,0.6036428809165955,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.13686510881834,11.302137617515731]}"
1_1_1_1_1_1_1_1_2_0000000000000000016c,0,1568185200000,1,1114.0,14.0,1,1,0.8725957870483398,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[106.05783448421576,12.460339211607023]}"
1_1_1_1_1_1_1_1_2_00000000000000000010,0,1568185200000,0,111.0,11.0,1,1,0.43435969948768616,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.96323111709752,11.400345797568141]}"
1_1_1_1_1_1_1_1_2_00000000000000000009,0,1568185200000,0,210.0,10.0,2,0,0.10822097957134247,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.97958679773325,12.105756582361657]}"
1_1_1_1_1_1_1_1_2_00000000000000000016,0,1568185200000,0,210.0,10.0,2,0,0.10633305460214615,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.84280208665469,11.321619626442885]}"
1_1_1_1_1_1_1_1_2_000000000000000000bb,0,1568185200000,0,210.0,10.0,2,0,0.12446276098489761,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.40588324401361,11.531902540892505]}"
1_1_1_1_1_1_1_1_2_000000000000000000be,0,1568185200000,0,210.0,10.0,2,0,0.11108525097370148,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.92580134894793,12.068340840162657]}"
